Unique, e.g. BJ001;Must match Cities sheet;English name;中文名 (for taxis & maps);BJ001_cover.jpg;attraction / restaurant / experience / shopping / nightlife;2-3 objective sentences;What makes this special?;Practical tips for foreigners;Scams, closures, things to know;Comma-separated;Decimal, e.g. 39.9163;Decimal, e.g. 116.3972;Neighborhood name;"e.g. 08:30-17:00, or ""24h""";;Realistic visit time (minutes);"0=free, 1=cheap, 2=mid, 3=expensive; 4; 5";indoor / outdoor;any / daytime/ morning / afternoon / evening ;Comma-sep: solo, couple, freinds, family, elderly;best months for visit;YES / NO;1-5 scale (5=very friendly);
XA002;XA;Terracotta Warriors;秦始皇兵马俑博物馆;XA002_cover.jpg;attraction;"The Terracotta Army is part of the Mausoleum of Emperor Qin Shi Huang and is known as one of the ""Eight Wonders of the World."" Its lifelike clay soldiers, horses, and chariots show the power of the Qin Dynasty and its superb craftsmanship.";Terracotta Warriors, bronze chariots, Eight Wonders of the World, ancient military history, sculpture art;"Book tickets 8 days in advance via WeChat and enter with valid ID. The ticket includes both the Terracotta Warriors Museum and Lishan Garden; shuttle buses to Lishan Garden are free. The site is large, so wear comfortable shoes. Guided tours are available inside.";Closed on Mondays. Tickets are not sold on site, and queues may be needed when entering during busy periods.;UNESCO, Must-see, Historical, Museum, Culture;34.3841;109.2785;Lintong;8:30;17:00;180;1;indoor;daytime;solo, couple, family, elderly;3,4,5,9,10,11;YES;5;
XA003;XA;Mount Huashan;华山;XA003_cover.jpg;attraction;Mount Hua is one of China’s Five Great Mountains and is famous for its steep and dramatic cliffs. It has five main peaks, beautiful natural scenery, and important Taoist cultural sites.;Plank Walk, mountaintop sunrise, Taoist temples, steep peaks;"Book tickets up to 10 days in advance through the WeChat mini program ""Huashan Tourism Service Platform,"" or buy them on site. Mountain lodging ranges is available and should be booked early in peak season if you plan to stay overnight for sunrise.";Hiking requires good physical strength. Prepare sports shoes, trekking poles, enough food and water, sun-protective clothing, a power bank, and other essentials.;Nature, Hiking, Photography, Religious, Must-see;34.4886;110.0893;Huayin;7:00;16:00;360;3;outdoor;any;solo, couple, family;4,5,6,9,10;YES;5;
XA004;XA;Shaanxi History Museum;陕西历史博物馆;XA004_cover.jpg;attraction;Shaanxi History Museum is an important cultural landmark in Xi’an. Its collections, including bronze objects, Tang tri-colored pottery, agate cups, and silver sachets, tell the story of ancient Shaanxi.;Ancient Shaanxi relics, national treasures, rich collections;"Reserve free tickets 5 days in advance through the ""Shaanxi History Museum"" WeChat account. Volunteer guided tours are available at 9:00 and 13:30, and audio guides can also be rented. Special paid exhibitions is also available.";Closed every Monday. Tickets are hard to get, and the museum can be very crowded during peak hours.;Museum, Historical, Culture, Art, Must-see;34.2257;108.9553;Yanta;8:30;18:00;180;1;indoor;daytime;solo, couple, family, elderly;1,2,3,4,5,6,7,8,9,10,11,12;YES;5;
XA005;XA;The Xi`an Circumvallation;西安城墙;XA005_cover.jpg;attraction;Xi’an City Wall is one of the largest and best-preserved ancient city walls in China, with a history of over 600 years. It is about 14 kilometers long and includes four main gates: Changle Gate, Yongning Gate, Anding Gate, and Anyuan Gate.;Ancient Xi’an architecture, city wall sunset, ancient military wisdom;"Book tickets up to 6 days in advance via the ""Xi’an City Wall Scenic Area"" WeChat mini program. Tickets allow multiple entries on the same day. Bicycles can be rented on the wall. In winter, the Spring Festival Lantern Fair requires a separate ticket.";There is little shade on the city wall, so avoid visiting at noon.;Historical, Landmark, Architecture, Citywalk, Photography;34.2566;108.947;Beilin;8:00;22:00;120;0;outdoor;any;solo, couple, family;3,4,5,9,10,11;YES;5;
XA006;XA;Huaqing Palace Heritage Site;华清池;XA006_cover.jpg;attraction;Huaqing Pool is an ancient royal garden with a long history. It is famous for its imperial hot springs and is also linked to the romantic story of Emperor Xuanzong and Yang Guifei in the Tang Dynasty.;Royal garden, imperial bathing pools, park performances, architectural art;"Tickets can be bought on site or booked in advance through the ""Huaqing Palace Scenic Area"" WeChat account. The site also hosts two large live-action shows, The Song of Everlasting Sorrow and Xi’an Incident. Guided tours are available in the park.";The scenic area has a complex layout, so allow enough time if you want to explore it fully. The live performances are held at night, so arriving in the afternoon is recommended.;Imperial, Historical, Culture, Entertainment, Architecture;34.3639;109.2143;Lintong;7:30;17:10;180;1;outdoor;daytime;solo, couple, family, elderly;3,4,5,9,10,11;YES;5;
XA007;XA;The bell tower The drum tower;钟鼓楼;XA007_cover.jpg;attraction;The Bell Tower and Drum Tower were important timekeeping landmarks in ancient Xi’an. In the past, the bell was struck in the morning and the drum was beaten in the evening to mark the time.;Chime-bell performance, ancient timekeeping, painted rooftops, ancient architecture;A combined ticket for the Bell Tower and Drum Tower is available. The towers display historical bells and related artifacts. You can also skip entering and take photos from outside, especially at night when the lights make the view more impressive.;The stairs inside the Bell Tower are quite steep. Wear comfortable shoes and lightweight clothing.;Landmark, Historical, Architecture, Photography, Culture;34.2610;108.9423;Lianhu;8:30;21:30;180;1;outdoor;daytime;solo, couple, family, elderly;2,3,4,7,8,10,11;YES;5;
XA008;XA;Tang Paradise;大唐芙蓉园;XA008_cover.jpg;attraction;Tang Paradise is a large cultural theme park that presents the style and splendor of the Tang Dynasty. Its scenic areas and themed performances showcase the culture and art of this golden age.;Live cultural shows, boat viewing, Tang-style royal garden, Ladies’ Hall, Rosy Cloud Corridor, Giant Wild Goose Pagoda viewpoint;"Book tickets up to 7 days in advance through the ""Tang Paradise"" WeChat account. Tickets allow one-time entry only. Some performances require separate tickets, and the night light show is worth seeing.";The park is large, so wear light and comfortable clothing. In summer, it can be hot and sunny, so protect yourself from heat and sun exposure.;Imperial, Park, Culture, Entertainment, Photography;34.2123;108.9741;Yanta;9:00;22:00;120;2;outdoor;daytime;solo, couple, family, elderly;3,4,5;YES;5;
XA009;XA;Xi'an Museum;西安博物院;XA009_cover.jpg;attraction;Xi’an Museum consists of the museum, the Tang Jianfu Temple site, and the Small Wild Goose Pagoda. Centered on the theme of ancient Xi’an, it displays representative cultural relics unearthed from different historical periods.;Ancient Xi’an architecture, Tang tri-colored glazed pottery, Sui gilded Buddha statue, AR experience;"Reserve free tickets in advance through the Xi’an Museum website or WeChat account; the ticket also includes the Small Wild Goose Pagoda. Audio guides are available inside, and bringing wired earphones can be useful. After visiting the museum, you can also take photos around the outdoor area.";Closed every Tuesday and on Chinese New Year’s Eve. During peak travel seasons, it can be crowded with long queues.;Museum, Historical, Culture, Architecture;34.2433;108.9426;Beilin;9:00;18:00;180;0;indoor;daytime;solo, couple, family, elderly;1,2,3,4,5,6,7,8,9,10,11,12;YES;5;
XA010;XA;Giant Wild Goose Pagoda;大雁塔;XA010_cover.jpg;attraction;The Giant Wild Goose Pagoda is a Buddhist pagoda inside Da Ci’en Temple. Built by Xuanzang to preserve scriptures and Buddhist images from India, it is one of Xi’an’s major cultural landmarks.;Buddhist site, poetry street, red temple walls, musical fountain;"The pagoda is inside Da Ci’en Temple. Climbing the Giant Wild Goose Pagoda requires a separate ticket. You can reserve in advance via the ""Da Ci’en Temple"" WeChat mini program, and light-colored clothes are recommended for photos.";The musical fountain runs four times a day: 12:00, 16:00, 19:00, and 21:00. Plan your visit accordingly if you want to see the show.;Religious, Historical, Landmark, Architecture, Culture;34.2183;108.964;Yanta;8:30;18:00;120;1;outdoor;daytime;solo, couple, family, elderly;3,4,10,11;YES;5;
XA011;XA;Small Wild Goose Pagoda;小雁塔;XA011_cover.jpg;attraction;The Small Wild Goose Pagoda is a Buddhist pagoda inside Jianfu Temple. Built to house scriptures translated by the monk Yijing, it is known for its graceful and peaceful appearance.;Ancient Xi’an architecture, Buddhist pagoda, Jin Dynasty iron bell, earthquake-resistant tower;Reserve free tickets in advance through the Xi’an Museum website or WeChat account. The Small Wild Goose Pagoda is inside Xi’an Museum, so one reservation covers both sites.;Closed every Tuesday and on Chinese New Year’s Eve. During peak travel seasons, it can be crowded with long queues.;Religious, Historical, Architecture, Museum;34.2430;108.9423;Beilin;9:00;18:00;60;0;outdoor;morning;solo, couple, family, elderly;3,4,6,7,10,11;YES;5;
XA012;XA;Daming Palace National Heritage Park;大明宫国家遗址公园;XA012_cover.jpg;attraction;Daming Palace was the most magnificent of the three main palace complexes of Tang Chang’an. It served as the political center of the Tang Empire, where emperors of the Li-Tang dynasty handled state affairs.;Royal garden, miniature landscapes, archaeology exploration center, VR experience;"Tickets to the architectural ruins can be booked through the ""Daming Palace National Heritage Park"" WeChat account. A combo ticket includes admission, guided explanation, and an electric cart inside the park.";"Closed every Tuesday. The park is very large, so wear comfortable clothing; in summer, protect yourself from heat and sun exposure.";Imperial, Historical, Park, Architecture, Culture;34.2922;108.9622;Xincheng;6:00;22:00;180;1;outdoor;daytime;solo, couple, family, elderly;3,4,5,9,10,11;YES;5;
XA013;XA;Gao's Grand Courtyard;高家大院;XA013_cover.jpg;attraction;Gao Family Courtyard is one of the largest and best-preserved official residence compounds in Xi’an’s old city. It offers a glimpse into traditional architecture and local family life.;Traditional courtyard residence, shadow puppetry, Huayin folk opera;"Tickets can be bought on site. On rainy days, you may see the traditional ""four waters return to the hall"" courtyard drainage scene. Shadow puppet shows and northern Shaanxi folk performances are usually available on regular days.";Closed on Wednesdays for restoration. Performance seats are limited.;Historical, Architecture, Culture, Local Life, Art;34.2660;108.9365;Lianhu;10:00;18:00;60;1;outdoor;afternoon;solo, couple, family, elderly;1,2,3,4,5,6,7,8,9,10,11,12;NO;5;
XA014;XA;Forest of Stone Steles Museum;西安碑林博物馆;XA014_cover.jpg;attraction;"Xi’an Beilin Museum is an art museum focused on ancient stone tablets, epitaphs, and stone carvings. It is known as ""China’s largest stone library.""";Ancient calligraphy, stone carving art;"Reserve tickets 5 days in advance through the ""Xi’an Beilin Museum"" WeChat account. To avoid crowds, enter from the north gate.";Wear comfortable non-slip flat shoes. Food is not allowed inside the museum.;Museum, Historical, Art, Culture;34.2529;108.9537;Beilin;9:00;17:00;180;1;outdoor;daytime;solo, couple, family, elderly;1,2,3,4,5,6,7,8,9,10,11,12;YES;5;
XA015;XA;Gu Guanyin Buddhist Temple;古观音禅寺;XA015_cover.jpg;attraction;Ancient Guanyin Temple is a thousand-year-old Buddhist temple in the Zhongnan Mountains. It is famous for a 1,400-year-old ginkgo tree said to have been planted by Emperor Taizong of the Tang Dynasty.;Ancient famous tree, Guanyin sacred spring, legendary stories;"Reserve 3 days in advance through the ""Zhongnan Chanyun"" WeChat account. The back hill offers beautiful overhead views of the ginkgo tree and the Zhongnan Mountains. Ginkgo sachets are available as souvenirs inside the temple.";Dress respectfully for the temple setting. Do not photograph monks during your visit.;Religious, Nature, Photography, Historical, Culture;34.0695;108.7798;Chang'an;9:00;17:00;30;0;outdoor;afternoon;solo, couple, family, elderly;10,11;YES;5;
XA016;XA;Zhang Family Ziwu Road Roujiamo;子午路张记肉夹馍（翠华路店）;XA016_cover.jpg;restaurant;Ziwu Road Zhangji Roujiamo is a small local eatery well loved by Xi’an residents. Its main dishes include roujiamo, cold noodles, and meatball soup.;Chinese-style meat sandwich, cold skin noodles, minced-pork noodles, local life;The premium Chinese-style meat sandwich is a must-order.;The shop is small and crowded, and sharing tables with other customers is common. The roujiamo here is filled with pork.;Local Snacks, Must-try, Foodie, Cuisine;34.2375;108.9438;Beilin;24h;24h;60;1;indoor;any;solo, couple, family, elderly;1,2,3,4,5,6,7,8,9,10,11,12;NO;4;Roujiamo, Liangpi, Meatball Soup
XA017;XA;Ai Hua Trouser Belt Noodles;爱骅裤带面馆（碑林区店）;XA017_cover.jpg;restaurant;Aihua Biangbiang Noodle Restaurant is a well-known noodle shop in Xi’an. It serves popular local noodle dishes commonly found in the city.;Traditional noodles, oil-splashed noodles, wide dipping noodles, donkey-hoof-shaped noodles;Try the three-in-one or four-in-one noodles. The sodas are also popular.;Xi’an food tends to be salty, so you can ask for a lighter taste when ordering.;Local Snacks, Must-try, Foodie, Cuisine;34.2389;108.9422;Beilin;10:00;22:00;60;1;indoor;any;solo, couple, family, elderly;1,2,3,4,5,6,7,8,9,10,11,12;NO;4;Biangbiang Noodles, Oil-Splashed Noodles
XA018;XA;Wei Jia Shaanxi Cold Noodles;魏家凉皮（兵马俑店）;XA018_cover.jpg;restaurant;Weijia Liangpi is a famous Xi’an restaurant chain specializing in cold skin noodles. It also serves local and fast-food items such as roujiamo, rice noodles, and burgers.;Cold skin noodles, local snacks;Recommended items include secret-recipe cold skin noodles, wheat-starch noodles, spicy pepper soup, and a variety of burgers.;The cold skin noodles are fresh and spicy. You can ask for no chili when ordering.;Local Snacks, Foodie, Cuisine, Takeaway;34.2600;108.947;Beilin;24h;24h;60;1;indoor;any;solo, couple, family, elderly;1,2,3,4,5,6,7,8,9,10,11,12;NO;4;Liangpi, Roujiamo, Rice Noodles
XA019;XA;Tong Sheng Xiang;同盛祥（钟楼店）;XA019_cover.jpg;restaurant;Tongshengxiang is a time-honored halal restaurant brand in China. It is best known for Xi’an’s traditional beef and lamb paomo.;Beef and lamb soup with flatbread, local snacks;"Recommended dishes include beef and lamb paomo, stir-fried beef paomo, sweet pickled garlic, chili sauce, and sour plum drink. You can break the flatbread by hand or use a machine; the smaller the pieces, the better they absorb the soup. The Great Tang All Day Mall branch also offers views of the Giant Wild Goose Pagoda.";Some dishes may be quite spicy, so check carefully before ordering.;Local Snacks, Must-try, Foodie, Cuisine;34.2614;108.9396;Lianhu;11:00;22:00;120;1;indoor;any;solo, couple, family, elderly;1,2,3,4,5,6,7,8,9,10,11,12;NO;4;Beef Paomo, Lamb Paomo
XA020;XA;Shaanxi Thirteen;陕拾叁（北院门店）;XA020_cover.jpg;restaurant;Shaan Shisan is a well-known local dessert shop in Xi’an. It is famous for combining Shaanxi culture with traditional pastries and iced dairy desserts.;Iced dairy dessert, local snacks;Recommended items include chili-oil iced dairy dessert, osmanthus fermented-rice iced dairy dessert, lava egg-yolk pastry, and tiger tally cookies. These are also good choices for souvenirs.;Reviews on the taste are mixed, so it is best to try it for yourself.;Dessert, Local Snacks, Foodie, Takeaway;34.2619;108.9428;Lianhu;9:00;23:00;60;1;indoor;any;solo, couple, family, elderly;1,2,3,4,5,6,7,8,9,10,11,12;NO;4;Yogurt Ice Desserts, Traditional Shaanxi Pastries
XA021;XA;Chonghui Chengcheng Mutton Soup;崇辉澄城水盆羊肉（钟楼店）;XA021_cover.jpg;restaurant;Shuipen Yangrou is a traditional Han Chinese dish from Weinan, Shaanxi. It features tender lamb and a clear, flavorful broth without a strong gamey taste.;Lamb soup with flatbread, local snacks;Recommended dishes include lamb soup with flatbread, crescent-shaped baked flatbread, and sweet pickled garlic. Dip the flatbread into the soup for the best taste.;The restaurant can be crowded, and sharing tables may be necessary.;Local Snacks, Must-try, Foodie, Cuisine;34.2618;108.9452;Lianhu;7:30;20:30;60;1;indoor;any;solo, couple, family, elderly;1,2,3,4,5,6,7,8,9,10,11,12;NO;4;
XA022;XA;THE Longest Day In Chang'an;长安十二时辰;XA022_cover.jpg;experience;The Longest Day in Chang’an is a Tang Dynasty-themed street block inspired by the TV drama of the same name. Recreated scenes, live performances, and NPC interactions offer visitors an immersive journey into ancient Chang’an.;Tang-style architecture, immersive performances, street snacks, traditional Han clothing;"Book tickets through the ""The Longest Day in Chang’an"" WeChat mini program. Tickets allow multiple entries within two days. Visiting right after opening in the morning is best.";Popular performances require early queuing. Avoid the 17:00–18:00 peak crowd, and note that some activities inside require extra payment.;Immersive, Entertainment, Culture, Imperial, Photography;34.2145;108.9655;Yanta;10:00;22:00;120;2;indoor;any;solo, couple, family;1,2,3,4,5,6,7,8,9,10,11,12;YES;5;
XA023;XA;The Song of Endless Sorrow;长恨歌;XA023_cover.jpg;experience;The Song of Everlasting Sorrow is a large outdoor live performance inside Huaqing Palace. Based on Bai Juyi’s famous poem, it tells the tragic love story of Emperor Xuanzong and Yang Guifei.;Immersive performance, holographic projection, live-action show, cultural stories;"Book tickets 10 days in advance through the ""Huaqing Palace Scenic Area"" WeChat account. Area A offers the most immersive experience, Area B has AR glasses rental, Area C has good views and better value, while Areas D/E may have partial view obstruction.";The open-air viewing area is by the lake, and it can be windy at night. Bring warm clothing.;Entertainment, Immersive, Imperial, Culture, Must-see;34.3639;109.2143;Lintong;19:00(4,5,6,7,8,9,10);22:30(4,5,6,7,8,9,10);90;2;outdoor;evening;solo, couple, family, elderly;4,5,6,7,8,9,10;YES;5;
XA024;XA;Xiaonanmen Morning Market;小南门早市;XA024_cover.jpg;experience;Xiaonanmen Morning Market is one of the busiest morning markets in Xi’an. Every morning, over 120 stalls sell breakfast foods, fresh fruits and vegetables, and daily necessities.;Local specialties, vibrant morning market atmosphere, fresh fruits and vegetables;Arrive around 7:00 to avoid crowds and enjoy freshly made food. The market gets busy early, and bringing some cash is useful.;It gets crowded after 8:00. Food options can be complex, so check ingredients carefully if you have allergies.;Local Life, Local Snacks, Foodie, Must-try;34.2464;108.9318;Beilin;6:00;9:00;30;1;outdoor;morning;solo, couple, family;3,4,5,9,10,11,12,1,2;NO;3;
XA025;XA;The Muslim Quarter;回民街;XA025_cover.jpg;experience;Muslim Quarter was once the center of Xi’an’s Hui Muslim community. Today, it is a lively food and cultural street filled with a wide variety of classic Xi’an snacks.;Ancient architecture, local snacks;Avoid public holidays and visit in the morning for the best experience. Recommended foods include cold jelly in marinade, steamed dumplings, steamed pork with rice flour, egg-and-vegetable flatbread sandwich, cold skin noodles, and stir-fried cold jelly.;This is a halal dining area: no alcohol, no pork, and no outside food inside restaurants.;Local Snacks, Foodie, Culture, Local Life, Citywalk;34.2644;108.9367;Lianhu;9:00;22:00;60;1;outdoor;any;solo, couple, family;1,2,3,4,5,6,7,8,9,10,11,12;NO;4;
XA026;XA;Xi'an Tang Dynasty Palace;唐乐宫;XA026_cover.jpg;experience;Tang Dynasty Palace is China’s first Tang-style palace music and dance theater restaurant. Visitors can enjoy classical Tang-style performances while having food and drinks.;Ladies’ Hall, Tang-style sweets, music and dance restaurant;You can experience Hanfu styling here. The Tang palace banquet show Empress of the Great Tang is highly recommended.;Tickets are hard to get.;Entertainment, Imperial, Culture, Immersive, Cuisine;34.2325;108.9510;Yanta;17:00;21:15;120;3;indoor;evening;solo, couple, family, elderly;1,2,3,4,5,6,7,8,9,10,11,12;YES;5;
XA027;XA;The Romantic Show of Xi'an;西安千古情;XA027_cover.jpg;experience;Xi’an Romance Park Show is a large-scale song and dance performance inside Xi’an Expo Park. It follows the story of a Chinese-descended girl returning to China to seek her roots and explore national memory.;Live-action performance, real NPC interactions;"Tickets can be booked through the ""Songcheng Tourism"" WeChat mini program. For the best view, choose seats near the center.";The park is large, so wear light and comfortable clothing. The theater air conditioning can be cold, so bring a layer. Food is not allowed during the performance.;Entertainment, Immersive, Culture, Photography;34.1658;109.0096;Baqiao;13:00;19:30;120;3;outdoor;any;solo, couple, family, elderly;1,2,3,4,5,6,7,8,9,10,11,12;YES;5;
XA028;XA;SEG International Shopping Center;赛格购物中心;XA028_cover.jpg;shopping;SEG Shopping Center is a major international shopping area near Shaanxi History Museum. It combines shopping, dining, and popular photo spots.;Indoor waterfall, extra-long escalator, pet interactions, food street;SEG Shopping Center is close to the Giant Wild Goose Pagoda and Shaanxi History Museum, so they can be visited together.;Avoid peak crowds on public holidays.;Modern, Instagram, Foodie, Entertainment;34.2296;108.9527;Yanta;10:00;22:00;60;2;indoor;any;solo, couple, family, elderly;1,2,3,4,5,6,7,8,9,10,11,12;NO;5;
XA029;XA;Great Tang West Market;大唐西市;XA029_cover.jpg;attraction;Tang West Market is a cultural tourism complex built on the site of the Tang Dynasty’s West Market. It features shopping for antiques, jade, jewelry, calligraphy and paintings, tea, and tea ware.;Tang Dynasty site, cultural street, antique market, rooftop garden;Tang West Market includes both a museum and a shopping center. ;Be cautious when buying antiques and jade. In summer, protect yourself from the heat.;Culture, Historical, Citywalk, Art, Architecture;34.2577;108.9138;Lianhu;9:00;19:00;120;0;outdoor;daytime;solo, couple, family, elderly;1,2,3,4,5,6,7,8,9,10,11,12;NO;5;
XA030;XA;Joy City;大悦城;XA030_cover.jpg;shopping;Joy City is an international shopping mall that blends Tang Dynasty culture with modern trends. It offers shopping, dining, and entertainment in a stylish commercial space.;Sky terrace, rooftop garden, shopping mall;This is a pet-friendly mall, and pets are allowed inside.;;Modern, Instagram, Foodie, Entertainment;34.2177;108.9657;Yanta;10:00;22:00;120;2;indoor;any;solo, couple, family, elderly;1,2,3,4,5,6,7,8,9,10,11,12;NO;5;
XA031;XA;21Club;21Club;XA031_cover.jpg;nightlife;21Club Xi'an is an American retro-style speakeasy bar inspired by the Prohibition era. It is known for its hidden entrance, lively social atmosphere, and vintage interior design, making it popular with outgoing visitors and local nightlife lovers.;Hidden speakeasy entrance, American vintage decor, energetic crowd, cocktails and casual bar food.;The entrance can be hard to find: visitors usually enter through an American-style front room first, then push open a hidden glass-door entrance.;Smoking may be allowed indoors, and it can get crowded on weekends and public holidays.;Bar, Entertainment, Modern, Immersive, Instagram;34.2571;108.9458;Beilin;19:00;2:00;120;2;indoor;evening;solo, couple;1,2,3,4,5,6,7,8,9,10,11,12;NO;5;
CQ001;CQ;Jiefangbei (Liberation Monument);解放碑;CQ001_cover.jpg;attraction;The iconic heart of Chongqing, originally built to commemorate the victory in the War of Resistance. Today it’s a vibrant hub for shopping, dining, and nightlife, and the go-to starting point for most visitors.;Lively at night. Pedestrian street packed with street snacks.;Best to visit Monument itself during the day. The surrounding pedestrian streets are more vibrant at night. ;Can get quite crowded.;Must-see, Landmark, Citywalk, Local Life;29.558;106.5733;Yuzhong;24h;;60;0;outdoor;evening;solo, couple, friends, family, elderly;3, 4, 5, 9, 10, 11;NO;5;
CQ002;CQ;Baixiangju (White Elephant Community);白象居;CQ002_cover.jpg;attraction;"A typical hillside residential complex known for its layered, maze-like structure and direct street access without elevators, making it a perfect example of Chongqing’s ""8D city"" layout.";Popular photo spot. Three exits on the 1st, 10th, and 15th floors. Fully connected corridors throughout the building.;Follow the signs to get around. Photo spot: Cable cars pass roughly every 10 minutes. Fewer crowds before 10 AM.;Residential area. Please keep quiet. No elevators. Can be confusing to navigate due to its multi-level layout.;Photography, Architecture, Local Life, Instagram, Citywalk;29.5637;106.58;Yuzhong;24h;;30;0;indoor;morning;solo, couple, friends, family;3, 4, 5, 9, 10, 11;NO;4;
CQ003;CQ;Hongyadong;洪崖洞;CQ003_cover.jpg;attraction;Hongyadong, sits at the confluence of the Yangtze and Jialing Rivers. Built along the hillside, its 13-level complex of traditional stilted buildings is a designated 4A scenic area, famed for its dramatic night illumination, and is now one of the city’s most iconic landmarks.;Stunning light displays at night. Interior mainly focused on dining and entertainment. Cyberpunk.;Main entrances are on Levels 11, 2, and 1. Lights are typically on from 19:30 to 23:00.;Visit the interior during the day, as it gets extremely crowded at night—better for viewing from the outside then.;Must-see, Landmark, Architecture, River View, Photography, Instagram, Local Snacks;29.5616;106.5769;Yuzhong;9:00;23:00;60;0;outdoor;evening;solo, couple, friends, family;10, 11, 12, 1, 2;NO;5;
CQ004;CQ;Qiansimen Bridge;千厮门大桥;CQ004_cover.jpg;attraction;A major bridge spanning the Jialing River, and one of the best spots to capture Hongyadong at night. Offers wide, open views with stunning city lights.;Nighttime lighting. Classic photo spot for capturing Hongyadong.;Lights on from 19:00 to 21:30. Can walk up the bridge from the Hongyadong side and head down to the riverside on the other end.;Very heavy traffic and crowds after lighting at night. Taxis may not reach the bridge—best to walk up.;River View, Skyline, Photography, Landmark, Instagram;29.5652;106.5762;Yuzhong;24h;;30;0;outdoor;evening;solo, couple, friends, family, elderly;10, 11, 12, 1, 2;NO;5;
CQ005;CQ;Chongqing Zoo;重庆动物园;CQ005_cover.jpg;attraction;Chongqing City Zoo is famous for its pandas. The park is fairly large, making it ideal for a relaxed half-day visit and especially popular with families.;A wide range of rare and protected animals, including pandas and South China tigers.;Tickets can be purchased on-site or online via WeChat mini programs. Opening hours vary by enclosure, check the official website (http://www.cqzoo.com) in advance to plan your visit. Best to go in the morning when animals are more active, as they tend to rest in the heat or at noon.;Last entry is at 17:00;Zoo, Nature;29.5013;106.5052;Jiulongpo;8:00;18:00;180;1;outdoor;morning;solo, couple, friends, family;3, 4, 5;YES;5;
CQ006;CQ;Erchang Culture and Creative Park;鹅岭二厂;CQ006_cover.jpg;attraction;A former industrial site transformed into a creative park, featuring art spaces, cafés, and design shops. A popular spot for photos and hangouts among young visitors.;A popular citywalk route. Retro-art vibe.;Best entered from the south gate of Eling Park, visit the park first and then walk straight into the Erchang. Most shops open between 9:00 - 22:00.;Most of the shops are quite commercialized. May not be worth a visit if visitors don't like taking photos.;Art, Modern, Photography, Instagram, Citywalk;29.5522;106.5294;Yuzhong;24h;;60;0;outdoor;afternoon;solo, couple, friends;3, 4, 5, 9, 10, 11;NO;5;
CQ007;CQ;Liziba Monorail Station;李子坝轻轨站;CQ007_cover.jpg;attraction;Famous for trains passing directly through a residential building, this viral spot showcases Chongqing’s unique multi-level urban transport.;Unique architecture. Iconic photo spot.;Exit from Liziba Station Exit 2 and follow the signs down to street level, the classic photo spot is across the road.;Crowded during holidays. Trains run about every 5 minutes, so expect some waiting to get the perfect shot.;Must-see, Photography, Instagram, Landmark;29.5456;106.5288;Yuzhong;24h;;30;0;outdoor;daytime;solo, couple, friends, family, elderly;3, 4, 5, 10, 11;NO;4;
CQ008;CQ;Great Hall of the People;人民大礼堂;CQ008_cover.jpg;attraction;A grand public building in traditional Chinese architectural style, built under the direction of early Chinese revolutionary leaders. Located opposite the Three Gorges Museum, it stands as one of Chongqing’s key cultural landmarks.;Traditional Chinese architecture.;Tickets can be purchased on-site via QR code for 8 CNY. The exterior is the main highlight—while the interior is open for photos, but not much to see. ;Ticket sales stop at 17:30. Closed to visitors during performances or major events.;Historical, Imperial, Architecture, Landmark, Photography;29.5635;106.5512;Yuzhong;8:00;18:00;30;0;outdoor;any;solo, couple, friends, family, elderly;;NO;5;
CQ009;CQ;Guanyinqiao District;观音桥;CQ009_cover.jpg;attraction;One of Chongqing’s busiest commercial districts, combining shopping malls, restaurants, and bars, and a top choice for visitors to eat and explore.;Multiple malls and popular photo spots. Wide variety of food options.;"Start from Guanyinqiao Metro Station (Exits 4 or 7). For local food, head to ""观音桥好吃街"" The pedestrian bridge near its north gate features the famous ""我在重庆 (I am in Chongqing)"" LED screen. For anime and pop culture, check out ""方圆 live."" The area is especially lively at night.";Heavy crowds due to many popular photo spots so visitors should plan route based on interests. Best to go earlier in the day during summer;Local Life, Foodie, Citywalk;29.5779;106.5331;Liangjiang;24h;;240;0;outdoor;any;solo, couple, friends;;NO;5;
CQ010;CQ;Mountain City Walking Trails;山城步道;CQ010_cover.jpg;attraction;A hillside walking route linking old streets and residential areas, offering a close-up look at Chongqing’s unique terrain and local life.;Experience Chongqing’s unique terrain and local life. Scenic river views along the way.;"Setting ""佳实养老院"" as the starting point allows for a mostly downhill route. Along the way, small creative shops offer local souvenirs and street snacks. Often combined with a visit to Shibati, first walking trail, then Shibati.";"Comfortable sneakers are recommended. Expect steep stairs and narrow paths; extra caution is advised during busy periods. Take precautions against the heat in summer.";Hiking, Citywalk, Local Life, Local Snacks, Photography, Historical;29.5565;106.5705;Yuzhong;24h;;120;0;outdoor;any;solo, couple, friends, family;3, 4, 5, 10, 11;NO;3;
